,,,,,,,,,,
,Bus Operator,Bus Number,Route Start,Route end,Stop Area Name,Stop Street Name,Weekday stop time,Sat stop time,Sun stop time,Inbound/outbound
,Arrivia,53,Cramlington,North Shields,Killingworth,"Station Road-Angus Close, S-Bound",7:27,7:27,9:27,I
,Arrivia,53,Cramlington,North Shields,Killingworth,"Station Road-Angus Close, S-Bound",8:13,8:13,10:27,I
,Arrivia,53,Cramlington,North Shields,Killingworth,"Station Road-Angus Close, S-Bound",8:43,8:43,11:27,I
,Arrivia,53,Cramlington,North Shields,Killingworth,"Station Road-Angus Close, S-Bound",9:13,9:13,12:27,I
,Arrivia,53,Cramlington,North Shields,Killingworth,"Station Road-Angus Close, S-Bound",9:43,9:43,13:27,I
,Arrivia,53,Cramlington,North Shields,Killingworth,"Station Road-Angus Close, S-Bound",10:13,10:13,14:27,I
,Arrivia,53,Cramlington,North Shields,Killingworth,"Station Road-Angus Close, S-Bound",10:43,10:43,15:27,I
,Arrivia,53,Cramlington,North Shields,Killingworth,"Station Road-Angus Close, S-Bound",11:13,11:13,16:27,I
,Arrivia,53,Cramlington,North Shields,Killingworth,"Station Road-Angus Close, S-Bound",11:43,11:43,17:27,I
,Arrivia,53,Cramlington,North Shields,Killingworth,"Station Road-Angus Close, S-Bound",12:13,12:13,18:27,I
